author_name,author_id,citations,paper_count,h_index,institution
m. veloso,2058284590,927,33,4,
sameena shah,36532736,1123,75,16,
natraj raman,32319713,175,25,7,
chao huang,2110926729,392,41,10,
lianghao xia,1830455155,903,39,15,
yuhao yang,2134819645,86,23,6,
hansu gu,1759997,187,37,9,
p. zhang,47243067,18819,1865,62,
t. lu,1711569,1003,125,17,
fangye wang,2107614843,10,1,1,
dongsheng li,2108481070,818,63,17,
yingxu wang,2108810047,54,7,5,
ning gu,39341617,1520,177,20,
a. block,21590875,121,41,6,
daniel n. hill,2113373342,303,9,7,
i. dhillon,1783667,34363,324,85,
t. joachims,1680188,60034,238,75,
rahul kidambi,1891978,1058,26,14,
xue liu,2151058626,223,14,6,
fernando diaz,2164035897,65,17,5,
chen ma,74142381,823,30,12,
bhaskar mitra,2064033905,111,13,6,
haolun wu,107747459,85,17,5,
yu tian,2152949018,58,8,4,
jianxin chang,2630544,294,12,6,
yang song,2157996254,975,20,7,
yannan niu,2164092924,12,2,1,
xinyu zou,2067661395,79,7,4,
aixin sun,1735962,14281,298,54,
zhongyi liu,2145285454,46,15,4,
yiming zhao,2167265615,16,3,2,
zhi hu,2167132467,11,1,1,
x. ding,31261271,46,4,3,
z. ren,2780667,4545,146,34,
alexandros karatzoglou,1713164,11141,101,37,
xin xin,36528303,1210,192,18,
tiago pimentel,1388571351,842,63,17,
pengjie ren,1749477,2735,108,24,
konstantina christakopoulou,2192607,696,18,10,
wei chen,2283009,4468,706,33,
min li,2145625388,179,15,5,
wei-jung huang,2144904188,5,12,1,
haitian yang,2118697511,16,15,2,
xuan zhao,2145742718,12,12,2,
yan wang,2152546433,40,26,4,
jiaxin mao,3340223,382,65,10,
jiancheng lv,2075420316,580,58,11,
yao zhang,1611287648,46,10,5,
feifan song,66947198,38,4,3,
hongru liang,46822058,113,20,5,
wenqiang lei,39165620,1667,71,18,
zhenglu yang,2149231521,107,23,6,
yuhui shi,2152862030,42,8,4,
yonghong ye,2114058468,79,3,2,
ningzhi tang,2161660776,10,2,1,
lixin zhang,2144156527,33,5,2,
liang qu,2056322340,124,15,5,
yansen zhang,2177377528,11,3,1,
chenhao hu,2118956998,29,11,3,
yubao liu,2108289820,579,48,11,
shuhua huang,2175334186,11,1,1,
zhicong cheng,2788612,202,17,6,
dawei yin,50559722,7162,159,46,
yiding liu,2108021633,937,35,15,
shuaiqiang wang,2386396,1636,85,22,
qian dong,2053111975,46,11,4,
shuzi niu,2944201,1485,36,12,
suqi cheng,2111102795,145,8,5,
shuai li,1491648207,603,55,13,
tong yu,2148832584,130,27,7,
zhihui xie,2114115577,50,7,4,
junda wu,2146666303,25,15,3,
ruiyi zhang,1390533012,326,45,12,
handong zhao,7574699,1831,91,20,
siqi lai,2175278345,9,3,1,
erli meng,1404347393,83,6,5,
fan zhang,2153307623,15,6,2,
bin wang,2222324593,9,3,1,
david carmel,1751914,5927,118,36,
elad kravi,1681183,161,19,8,
nachshon cohen,2898845,433,23,12,
a. ingber,34766724,406,41,10,
rui yan,2055864368,21,8,3,
xiuying chen,46772896,397,31,11,
hind alamro,1753416672,74,9,5,
xiangliang zhang,2928371,7371,337,42,
shen gao,2112311595,139,18,6,
li mingzhe,9255404,82,6,4,
xin gao,2118502950,23,17,3,
chuan shi,2151458697,153,33,7,
q. zhang,153441709,224,13,6,
hao sun,2118180377,228,22,9,
chaozhuo li,2869810,936,62,19,
weiwei deng,2066621592,191,17,6,
yiding zhang,93506381,231,12,4,
liangjie zhang,2146643615,151,11,6,
xing xie,2110972816,731,27,10,
yuming liu,2108104523,129,8,7,
xiao wang,2118449003,4105,56,19,
taoyu su,2175278389,4,1,1,
hongbo xu,46485352,816,64,15,
bowen yu,2110705766,196,38,8,
xinghua zhang,49468918,40,10,4,
yubin wang,2115721575,186,12,5,
jiawei sheng,2054250919,183,27,7,
shu guo,144019293,160,16,6,
lihong wang,2154649073,63,10,5,
rui sun,2068168828,45,9,4,
shiyao cui,9144106,139,20,5,
jiashu zhao,2109974571,631,46,13,
j. huang,1683391,708,82,15,
yong xu,2146648728,892,39,15,
yiqun liu,1783406,7715,356,47,
qingyao ai,144922928,3689,94,24,
shaoping ma,8093158,7311,353,45,
yueyue wu,2109036951,405,53,9,
yixiao ma,95952564,270,40,7,
m. zhang,39767557,75490,5933,106,
yunqiu shao,40975153,244,20,9,
parth gupta,40243462,673,47,13,
bing yin,2021632793,423,43,11,
cheng-hsin luo,143884453,30,10,4,
tao yang,1958895984,198,20,8,
hanqing lu,2149891871,43,5,3,
jinzhi liao,9387602,81,19,6,
jiuyang tang,2522937,735,88,14,
fei cai,145030663,1162,74,19,
jianming zheng,1832369910,290,32,9,
xinyi li,2108484173,81,19,5,
xiang zhao,1862330484,348,61,9,
ding zou,2155892962,78,4,3,
xian-ling mao,134880677,1402,111,17,
xin cao,2149214667,67,15,4,
z. wang,2117422098,79,9,5,
feida zhu,143663410,4008,151,36,
wei wei,47748186,1637,93,19,
minghui qiu,2642333,3600,103,30,
yongchun zhu,1864765978,3257,81,17,
ruobing xie,3360722,2578,86,24,
fuzhen zhuang,2104266567,115,31,6,
xiang ao,2125319109,222,31,8,
qing he,2158548,558,40,12,
shuokai li,116817070,170,9,5,
dianer yu,2153682136,31,10,4,
qian li,2117126149,147,36,7,
zhichao wang,2136115957,95,19,5,
xiang-jian wang,2144796853,57,13,4,
hongxu chen,49177484,1336,53,20,
jiaxin mao,2181289386,101,8,4,
ji-rong wen,153693432,4525,217,28,
ziliang zhao,2175348510,4,2,1,
zuowu zheng,1453602567,21,4,3,
xiaofeng gao,11732258,3112,322,28,
changwang zhang,2145156434,138,10,5,
guihai chen,2116378888,13689,758,52,
hao jiang,47067803,21281,1276,69,
